,title,description,image,site,link,tags
0,روایتی از تحصیل زیرسقف‌های لرزان و سرمای سوزان؛ دانش‌آموزان کَهنانیکَش روی زمین درس می‌خوانند + فیلم,گروه استان‌ها- دانش‌آموزان مدرسه روستای کَهنانیکَش در بلوچستان با فرسوده شدن مدرسه‌ قدیمی‌شان و احتمال زیرش آن روی زمین در فضای آزاد از ترس مار و عقرب و لرز سرمای استخوان‌سوز تحصیل می‌کنند.,https://newsmedia.tasnimnews.com/Tasnim/Uploaded/Image/1397/09/11/1397091100173716416042014.jpg,tasnim,https://tn.ai/2205110,استانها
1,انقلابی سرشناس بحرین در گفت‌وگو با تسنیم: مردم منطقه از پیشرفت ایرانی‌ها روحیه می‌گیرند,گروه استان‌ها ــ انقلابی سرشناس بحرین با بیان اینکه مردم منطقه از پیشرفت ایرانی‌ها روحیه می‌گیرند، گفت: حضور مردم ایران در میادین مختلف علاوه بر اینکه روحیه مردم سایر کشورهای منطقه را تقویت می‌کند موجب ایجاد انگیزه مضاعف در آنها می‌شود.,https://newsmedia.tasnimnews.com/Tasnim/Uploaded/Image/139210251636018091922224.jpg,tasnim,https://tn.ai/2206602,استانها
2,‌زندگی مردم در شهر قم ‌جریان دارد / پیشگیری در اولویت مردم قرار گرفت + تصاویر,گروه استان‌ها ــ با اعلام شیوع ویروس کرونا در شهر قم زندگی عادی جریان دارد، مردم با مراجعه به داروخانه‌ها و با توجه به توصیه‌ها در مورد پیشگیری از بیماری، ماسک تهیه و از تردد بی‌مورد در خیابان‌های مرکزی شهر خودداری کرده‌اند.,https://newsmedia.tasnimnews.com/Tasnim/Uploaded/Image/1398/12/05/1398120522041641919780114.jpg,tasnim,https://tn.ai/2210511,استانها
3,درگیر شایعات نشوید؛ نتیجه آزمایش افراد مشکوک به کرونا در ایلام منفی است,گروه استان‌ها- رئیس دانشگاه علوم پزشکی استان ایلام از منفی بودن نتیجه آزمایش افراد مشکوک به کرونا در ایلام خبر داد و گفت: شهروندان ایلامی خود را درگیر شایعات فضای مجازی نکنند.,https://newsmedia.tasnimnews.com/Tasnim/Uploaded/Image/1398/12/05/1398120513354743819777604.jpg,tasnim,https://tn.ai/2210539,استانها
4,واکنش &quot;پروفسور کرمی&quot; به دروغ‌پراکنی برخی رسانه‌ها برای &quot;القای ترس از کرونا&quot;,یک متخصص بیوتکنولوژی پزشکی با بیان اینکه مرگ‌و‌میر حاصل از کرونا به‌مراتب از آنفلوآنزا کمتر است، گفت: از این فرافکنی که برخی رسانه‌های غربی به‌خصوص در فضای مجازی ایجاد کرده‌اند، نگرانم.,https://newsmedia.tasnimnews.com/Tasnim/Uploaded/Image/1397/12/12/139712121440493416800594.jpg,tasnim,https://tn.ai/2210606,اجتماعی
5,مردم نگران تأمین کالاهای موردنیاز خود نباشند/ میزان تولید بالا و انبارها پر است,رئیس اتحادیه فروشگاه‌های زنجیره‌ای با اشاره به خرید بیش از اندازه و ذخیره‌سازی برخی از کالاها توسط مردم گفت: مردم نگران تأمین این محصولات نباشند؛ زیرا میزان تولید آنها در کشور بالا و انبارها مملو از کالاست.,https://newsmedia.tasnimnews.com/Tasnim/Uploaded/Image/1398/05/20/1398052011244354018089234.jpg,tasnim,https://tn.ai/2210669,اقتصادی
6,نماینده اصلاح‌طلب مجلس در گفت‌وگو با تسنیم: ‌شورای نگهبان در انتخابات ‌کاملاً فراجناحی بود‌ / مجلس برای بهبود اقتصاد‌ ‌گام بردار‌د,گروه استان‌ها ـ نماینده مردم 5 شهر خراسان شمالی در مجلس ‌گفت: شورای ‌نگهبان ‌تعدادی از اصولگرایان و ‌تعدادی از اصلاح طلبان را رد صلاحیت کرد و اعتقادم‌ این است که شورای نگهبان به هیچ عنوان در این انتخابات به صورت جناحی عمل نکرد.,https://newsmedia.tasnimnews.com/Tasnim/Uploaded/Image/1395/02/25/139502251008137367702254.jpg,tasnim,https://tn.ai/2210794,استانها
7,شرحی از حال‌ و روز سیلابی لرستان؛ از خانه‌های تخریب‌شده تا شمارش معکوس آغاز سیل + تصاویر,گروه استان‌ها ــ بارش در مناطق مختلف لرستان شدت گرفته و حجم آب رودخانه خرم‌رود در شهر خرم‌آباد هرلحظه در حال بالاآمدن است و مردم و مسئولان باید خود را برای یک سیلاب دیگر آماده کنند.,https://newsmedia.tasnimnews.com/Tasnim/Uploaded/Image/1398/12/06/1398120612352540419783704.jpg,tasnim,https://tn.ai/2210816,استانها
8,گزارش| هجمه کارگزاران به خاتمی؛ اصلاح‌طلبان چه کسی را مقصر شکست خود می‌دانند؟,روزنامه سازندگی ارگان حزب کارگزاران در سرمقاله امروز خود، انزوای خاتمی و انفعال وی را عامل شکست اصلاح طلبان در انتخابات دانست.,https://newsmedia.tasnimnews.com/Tasnim/Uploaded/Image/1398/12/06/1398120615081293919786464.jpg,tasnim,https://tn.ai/2210892,سیاسی
9,سردار جلالی: شیوع کرونا در کشور به‌صورت نسبی مهار شده/ تضعیف دستگاه بهداشت گناهی نابخشودنی است,رئیس سازمان پدافند غیرعامل گفت: در هفته‌های آتی ما شاهد کاسته‌شدن از تعداد مبتلایان و نزولی شدن منحنی ابتلا به کرونا خواهیم بود.,https://newsmedia.tasnimnews.com/Tasnim/Uploaded/Image/1397/08/06/1397080616530755515763984.jpg,tasnim,https://tn.ai/2210957,سیاسی
